ID,Bezirk,Standort,Vertrag,Betreiber,Modelltyp,Symbol,Öffnungszeiten,Nutzungsentgelt,Zahlungsart,Barrierefrei,Barrierearm,Wickeltisch
166,Steglitz-Zehlendorf,Goerzallee 1-3 vor Königsberger Str.,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
167,Treptow-Köpenick,Wilhelminenhofstr. 54 hinter Rathenaustr. 1,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
168,Mitte,Linkstr. ggü. 10 vor ggü. Eichhornstr.,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,nein
169,Treptow-Köpenick,"S-Bhf. Wilhelmshagen, Schönblicker Str. vor Erknerstr.",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
170,Treptow-Köpenick,Schönefelder Chaussee 100 vor ggü. Gerosteig,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
172,Charlottenburg-Wilmersdorf,"U-Bhf. Ruhleben, Hempelsteig hinter 1 a ggü. Rückseite U-Bhf. Ruhleben",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
173,Marzahn-Hellersdorf,Hellersdorfer Str. 227 hinter Kastanienallee 1,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
176,Pankow,Rennbahnstr. ggü. 1-2 vor Berliner Allee,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,ja
177,Steglitz-Zehlendorf,Ostpreußendamm 83 hinter Wismarer Str.,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
183,Mitte,WC-Center Rathausstr. Ggü. 17 hinter Spandauer Str.,Toilettenvertrag mit Wall,Wall GmbH,WC-Center,WC,9:30-20:00 Uhr,0.5,Bargeld,nein,ja,ja
184,Friedrichshain-Kreuzberg,"Boxhagener Platz, Gärtnerstr. ggü. 12-13 hinter Grünberger Str.",Toilettenvertrag mit Wall,Wall GmbH,gemauert,WC,24h,0.0,-,nein,nein,nein
186,Friedrichshain-Kreuzberg,"Volkspark Friedrichshain, Neuer Hain hinter Eingang Danziger Str./Paul-Heyse-Str.",Toilettenvertrag mit Wall,Wall GmbH,gemauert,WC,24h,0.0,-,nein,nein,nein
191,Charlottenburg-Wilmersdorf,WC-Center Breitscheidplatz vor Budapester Str.,Toilettenvertrag mit Wall,Wall GmbH,WC-Center,WC,Mo-Sa 7:00-22:00 Uhr So 10:00-22:00 Uhr,0.5,Bargeld,nein,ja,ja
192,Mitte,"Großer Stern (Haus C) , Str. des 17. Juni vor Großer Stern",Toilettenvertrag mit Wall,Wall GmbH,gemauert,WC,April-Sept. 07:00 -22:00  Okt. - März 08:00-20:00,0.0,-,nein,nein,nein
198,Charlottenburg-Wilmersdorf,"WC-Center Joachimsthaler Platz, Kurfürstendamm 226 vor Joachimsthaler Str.",Toilettenvertrag mit Wall,Wall GmbH,WC-Center,WC,Mo-Sa 07:00-22:00 So 10:00-22:00,0.5,Bargeld,nein,nein,ja
199,Charlottenburg-Wilmersdorf,"Volkspark Wilmersdorf , Am Volkspark vor ggü. Livländische Str.",Toilettenvertrag mit Wall,Wall GmbH,gemauert,WC,April-Sept. 07:00 -22:00  Okt. - März 08:00-20:00,0.0,-,nein,nein,nein
202,Charlottenburg-Wilmersdorf,"Olympiastadion, Olympischer Platz 6 vor Gutsmuthsweg (Eingang Hockey-Stadion)",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 2 Plätzen,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
205,Charlottenburg-Wilmersdorf,Preußenallee Mittelinsel hinter Olympische Str. 1,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
206,Charlottenburg-Wilmersdorf,"Preußenpark , Brandenburgische Str. vor Konstanzer Str.",Toilettenvertrag mit Wall,Wall GmbH,gemauert,WC,April-Sept. 07:00 -22:00  Okt. - März 08:00-20:00,0.0,-,nein,nein,nein
207,Charlottenburg-Wilmersdorf,Rüdesheimer Platz 6 vor Rüdesheimer Str.,Toilettenvertrag mit Wall,Wall GmbH,Café Achteck,WC,24h,0.0,-,nein,nein,nein
210,Charlottenburg-Wilmersdorf,Theodor-Heuss-Platz ggü. 4-6 Mittelinsel vor Reichsstr.,Toilettenvertrag mit Wall,Wall GmbH,gemauert,WC,April-Sept. 07:00 -22:00  Okt. - März 08:00-20:00,0.0,-,nein,nein,nein
212,Friedrichshain-Kreuzberg,Viktoriapark am Spielplatz,Toilettenvertrag mit Wall,Wall GmbH,gemauert,WC,24h,0.0,-,nein,nein,nein
213,Lichtenberg,"Landsberger Allee vor Franz-Jacob-Str., am Anton-Saefkow-Platz 14",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,nein
214,Mitte,Altonaer Str. am Oswald-Schumann-Platz (Tiergarten),Toilettenvertrag mit Wall,Wall GmbH,gemauert,WC,24h,0.0,-,nein,nein,nein
218,Mitte,Charlottenstr. ggü. 53-54 am Gendarmenmarkt,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 2 Plätzen,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
220,Mitte,Reinickendorfer Str. 9 vor Schönwalder Str./Weddingplatz,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
222,Mitte,"Leopoldplatz, Müllerstr. ggü. 150 vor Nazarethkirchstr.",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,Mo-Fr 8:00 - 16:30 Uhr; Sa-So 10:00 - 17:00 Uhr   ,0.0,-,ja,ja,nein
227,Neukölln,"U-Bhf. Britz-Süd, Parkplatz, Fritz-Reuter-Allee vor Gutschmidtstr.",Toilettenvertrag mit Wall,Wall GmbH,gemauert,WC,April-Sept. 07:00 -22:00  Okt. - März 08:00-20:00,0.0,-,nein,nein,nein
228,Neukölln,Elbestr. 39 Mittelinsel vor Sonnenallee,Toilettenvertrag mit Wall,Wall GmbH,gemauert,WC,April-Sept. 07:00 -22:00  Okt. - März 08:00-20:00,0.0,-,nein,nein,nein
230,Neukölln,"Alfred-Scholz-Platz, Richardstr. 1 hinter ggü. Ganghoferstr.",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
231,Pankow,"Arnswalder Platz, Bötzowstr. ggü. 51 vor Danziger Str.",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,ja
234,Reinickendorf,"Fellbacher Platz , Heinsestr. vor Fellbacher Str.",Toilettenvertrag mit Wall,Wall GmbH,Café Achteck,WC,24h,0.0,-,nein,nein,nein
243,Spandau,"Jugendplatz , Jugendweg vor Quellweg",Toilettenvertrag mit Wall,Wall GmbH,gemauert,WC,24h,0.0,-,nein,nein,nein
255,Steglitz-Zehlendorf,Moltkestr. hinter Holbeinstr. (Ludwig-Beck-Platz),Toilettenvertrag mit Wall,Wall GmbH,gemauert,WC,24h,0.0,-,nein,nein,nein
260,Treptow-Köpenick,"S-Bhf. Köpenick, Stellingdamm ggü. 1 hinter Mahlsdorfer Str.",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
261,Treptow-Köpenick,Bölschestr. 113 vor Aßmannstr. (Marktplatz Friedrichshagen),Toilettenvertrag mit Wall,Wall GmbH,gemauert,WC,April-Sept. 07:00 -22:00  Okt. - März 08:00-20:00,0.0,-,nein,nein,nein
262,Friedrichshain-Kreuzberg,Urbanstr. 21 vor Fontanepromenade,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
263,Reinickendorf,Greenwichpromenade vor Tegeler Hafenbrücke,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 2 Plätzen,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,ja
266,Spandau,Haselhorster Damm 23 hinter Burscheider Weg,Toilettenvertrag mit Wall,Wall GmbH,gemauert,WC,24h,0.0,-,nein,ja,nein
267,Spandau,Magistratsweg 8a vor Obstallee,Toilettenvertrag mit Wall,Wall GmbH,gemauert,WC,24h,0.0,-,nein,ja,nein
273,Charlottenburg-Wilmersdorf,"S-Bhf. Olympiastadion, Trakehner Allee vor ggü. 3 hinter Gutsmuthsweg",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 2 Plätzen,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
277,Marzahn-Hellersdorf,Boulevard Kastanienallee vor Stollberger Str. 49-51,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
278,Charlottenburg-Wilmersdorf,"Savignyplatz 1 Mittelinsel vor ggü. Grolmanstr., Savignyplatz 1 Mittelinsel vor ggü. Grolmanstr",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
281,Treptow-Köpenick,"S-Bhf. Treptower Park, Stern- und Kreisschifffahrt, Puschkinallee 15",Toilettenvertrag mit Wall,Wall GmbH,automatisches WC,WC,24h,0.0,-,nein,nein,nein
290,Charlottenburg-Wilmersdorf,Mierendorffplatz Mittelinsel hinter Osnabrücker Str.,Toilettenvertrag mit Wall,Wall GmbH,gemauert,WC,April-Sept. 07:00 -22:00  Okt. - März 08:00-20:00,0.0,-,nein,nein,nein
300,Tempelhof-Schöneberg,"U-Bhf. Bayerischer Platz, Stübbenstr. vor Grunewaldstr. 49",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,ja
