PLR,full_time_employees,median_income_eur
Gut Hellersdorf,1994,3018
Helle Mitte,558,3187
Hellersdorfer Promenade,1580,2865
Böhlener Straße,1659,2916
Adele-Sandrock Straße,3321,3227
Schleipfuhl,1359,2977
Boulevard Kastanienallee,1444,3013
Am Kienberg,1133,3187
Neue Grottkauer Straße,1634,2953
Teterower Ring,2348,3183
Cecilienplatz,1643,3215
Oberfeldstraße,1826,4277
Buckower Ring,1810,3378
Alt-Biesdorf,1375,4226
Biesdorf Süd,2622,4630
Kaulsdorf Nord,2143,3995
Alt-Kaulsdorf,999,4177
Kaulsdorf Süd,1975,4470
Mahlsdorf Nord,2715,4553
Alt-Mahlsdorf,1215,4261
Elsensee,1510,4394
Pilgramer Straße,2531,4550
Dörfer Malchow-Wartenberg,905,3876
Dorf Falkenberg,777,3966
Falkenberg Ost,2185,3022
Falkenberg West,1886,3102
Wartenberg Süd,1431,3168
Wartenberg Nord,1797,3042
Zingster Straße Ost,2640,3037
Zingster Straße West,2201,2999
Mühlengrund,1607,3227
Malchower Weg,2415,3745
Hauptstraße,1579,3436
Orankesee,846,4534
Große-Leege-Straße,3140,3851
Landsberger Allee,3749,3411
Weiße Taube,1358,3993
Hohenschönhausener Straße,1365,3316
Fennpfuhlpark,896,3367
Storkower Bogen,1046,3712
Rudolf-Seiffert-Park,2086,3552
Fennpfuhl Ost,2803,3251
Herzbergstraße,1562,3051
Rathaus Lichtenberg,3169,4016
Bornitzstraße,590,3943
Roedeliusplatz,1260,3718
Nibelungenviertel,3170,3864
Frankfurter Allee Süd,2445,3432
Victoriastadt,1255,4710
Nöldnerplatz,912,4773
Weitlingkiez,5185,3850
Zachertstraße,1631,3948
Massower Straße,1888,3551
Rosenfelder Ring,1939,3521
Gensinger Straße,1746,3486
Tierpark,849,3369
Dolgenseestraße,2506,3516
Volkradstraße,2036,3468
Erieseering,1856,3362
Rummelsburg,1272,5096
Karlshorst West,2900,4244
Karlshorst Nord,2893,4630
Karlshorst Süd,2504,5154
Letteplatz,2420,3389
Hausotterplatz,2230,3366
Breitkopfbecken,1825,3439
Schäfersee,2031,3440
Teichstraße,3124,3430
Humboldtstraße,1265,3537
Reinickes Hof,678,3313
Meller Bogen,1275,3455
Scharnweberstraße,2429,3350
Klixstraße,1613,3176
Schumacher-Quartier,*,•
Waldidyll/Flughafensee,315,•
Tegel Süd,1291,3902
TXL,*,•
Alt-Tegel,2536,4145
Konradshöhe/ Tegelort,1104,5013
Alt-Heiligensee,1258,4801
Heiligensee Nord,751,4221
Heiligensee,1331,4739
Frohnau West,1436,5328
Frohnau Ost,1368,5693
Hermsdorf West,1530,4917
Hermsdorf Ost/ Waldsee,1499,4739
Ziekowstraße/Freie Scholle,2182,3804
Borsigwalde,1772,3720
Wittenau Mitte,1055,3619
Wittenau Nord,1598,4226
Waidmannslust,1129,4198
Lübars,1007,4289
Wittenau Süd,1944,3506
Lübarser Straße,629,3862
Rollbergesiedlung,972,3148
Treuenbrietzener Straße,1946,2973
Märkisches Zentrum,2803,3151
Dannenwalder Weg,1774,3061
Schorfheidestraße,586,3776
