ortsteil,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
friedrichsfelde,1.919292382672722,-2.4586384646001416,-2.769071879659806,1.3861405738204713,0.09269581942210674,1.0210892453730829,-0.18274011432469267,-1.6192233492825643,0.3680914683746448,-1.8533747720284068,5.636513917013123,-0.9693302433269312,-0.09792011336963599,3.5518709498921828,-2.1121806963087724,-0.03076972913534528,1.5735538665141406,-3.131829437327855,-0.0037390602694749543,-3.13266724158088,-1.430536610174446,2.9336276470044225,-0.23122910967189422
friedrichshagen,-3.031693466670687,-0.9151200670883315,-0.029991048977164803,0.9099029620735607,-1.52047694647835,1.573439719028178,1.471715143719482,-1.1836557393695002,-0.5187453479200191,-3.595631087935772,1.0263389536372143,2.674591168642237,-0.35971015589310984,-2.6687248294584247,-0.5099525371939129,2.1355738994170648,-0.12363429308657607,1.524124751981772,0.855106796185891,-0.727937834134122,0.2948521646976626,-2.5974426471730423,0.1938346165667363
friedrichshain,16.035851937450033,17.15574162329571,-6.267506267188801,10.02979305168888,-2.696451944613957,0.17727932835809035,1.234285082605585,0.32536499243320993,-1.0506893965538222,-0.9633918240345447,-0.7901997641663928,-0.733417030552103,-0.12006820229883751,0.40370876151196483,0.34472042691779164,0.06907767444053926,0.45293914187024126,-0.016002114202517667,-0.19872557125197177,0.2501567904769006,0.30826342129887413,0.04463449031683292,0.5659979715374256
frohnau,-3.608694274777813,-0.16233321005830034,0.47487837611029415,0.4095311351838777,-0.6201275729729419,0.7905819532750195,0.10316130769595741,-0.8618395314766512,2.3658552618595525,-2.6958099564029223,-1.6700093179081044,-0.3328489568663533,0.10392248174272836,-0.21480869027274482,-0.19984171189453506,-0.7369089896685082,0.4019566226951905,-0.5524202986134947,-0.14586183529215535,0.33104882536605384,0.8539669598400912,0.3261154900058711,0.22660535015198152
gatow,-5.60685513947447,0.8150586543274968,1.7048920337998175,0.0355644892716178,-0.460521138856468,0.5842176447267232,0.6509474824126721,-0.6121863410859514,0.5555028110706287,0.2665415493381626,-0.8553678036789595,0.046499515358357245,-0.03598630239186685,-0.3699641351808984,0.8045545835773293,-0.5635557891158275,0.06544903070865979,0.15736656178946437,-0.14176584586068122,-0.6483868083344612,0.11166324256865812,0.1513823039168445,-0.19898998527912343
gesundbrunnen,6.935629564350349,0.15651325897107965,-1.881607718720007,-1.4791801462949217,2.2206059894130252,-2.223540503066818,-0.7988326992083581,0.4450956401338547,-0.1399538037252229,0.5821545368339016,0.7957659293407909,0.010514969192688305,-0.161249549322382,-1.159739207679079,-0.03316043784731174,-0.03463060325353473,-0.8853849137154144,-0.14112114469568576,0.3317051484664633,-0.4169059233821884,-0.5993815622085725,-0.543893878373078,-0.6624322727834647
gropiusstadt,-1.0164401411174817,-1.2516548600076367,-1.5276284884465428,0.3378105790335461,0.5904203124008369,-0.03289899637651771,-0.18806981897006567,-0.290579633070553,-0.11853247306376356,-0.8116759143829995,0.3110975086569882,-0.20856452330352504,-0.22735090590078594,0.2519839104562326,0.17305493647779663,-0.6208920418307634,0.07152155244255844,-0.20182822357020158,0.05864984159884988,0.06519397177248984,0.22195903577222942,-0.02703999342530623,0.09536287187607895
grunewald,-4.1584164950246825,0.019319433357182385,0.9071829235234977,0.7459802651207993,-0.8014190044026814,0.978608285356966,0.3335557354404026,-1.1761416414919024,0.583637803564593,0.5889913800440971,-0.4105100858502399,-1.1975143008576767,0.1748241582713136,-0.16156823967636158,-0.3941369450117442,0.014048330085725149,0.05205121975718607,0.017198901549668282,0.0007819455260751464,-0.1483294536297709,-0.09645662344812474,-0.09831346861555557,0.08454910272657061
gruenau,-5.261975102565908,1.04303164110004,1.2343991663089429,-0.1791403895642089,-0.3043923802957121,0.422734645182031,0.7156172557042167,-0.3311335353318948,0.4835917881114857,-1.5656701099864128,-2.406654917497559,1.4731269980056065,0.03537832059791708,0.9655713023151731,-3.0985313925656017,0.6420768671247455,-3.3914007542397484,-1.934159384504092,0.1079483616328686,-0.026552120700055495,-0.6559732664307056,0.7998793994891019,-0.8783331274330616
hakenfelde,-1.325063934506846,-1.1777983947225195,-0.9704745637575232,0.5432643485889191,-0.2526581428062657,0.445529833209167,0.30162980685573104,-0.27373476909860445,-0.5538541558151249,-0.124132213290044,0.44158277662731077,0.3153342526561359,-0.09040239073457618,0.00015755837007563685,0.16061487766733015,-0.053564057960117754,0.12646727388455775,-0.070152426888547,-0.028143914619893327,-0.0009188721115037968,-0.01761505984408462,0.08273501143458707,0.16183541136849378
