ortsteil,alcohol,animal_training,antiques,art,bar,bathing_place,books,butcher,childcare,clothes,community_centre,confectionery,convenience,deli,dog_park,electronics,fitness_station,florist,fountain,games,garden,greenfield,greengrocer,hairdresser,ice_cream,kiosk,marina,nature_reserve,nightclub,parking,pitch,playground,restaurant,second_hand,stationery,supermarket,theatre,travel_agency,vacant,wine,yes,cafes,bakeries,green_space,schools,medical
Köpenick,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,48,0,0,22,0,0,0,0,0,13,0,248,59,19
Lankwitz,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,21,0,0,14,0,0,0,0,0,4,0,220,43,8
Lichtenberg,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,54,25,0,0,17,0,0,0,0,0,15,2,248,34,12
Lichtenrade,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,30,0,0,13,0,0,0,0,0,7,0,117,44,11
Lichterfelde,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,68,0,0,28,0,0,0,0,0,21,1,424,77,18
Lübars,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,35,3,0
Mahlsdorf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,0,0,10,0,0,0,0,0,7,0,179,24,8
Malchow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,19,4,0
Mariendorf,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,38,0,0,17,0,0,0,0,0,13,0,245,43,12
Marienfelde,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,16,0,0,14,0,0,0,0,0,3,0,172,33,5
Marzahn,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,291,31,0,0,38,0,0,0,0,0,18,0,1383,71,23
Mitte,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,33,0,0,125,573,0,0,52,0,0,0,0,0,281,4,909,103,38
Moabit,0,0,0,0,20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,90,127,0,0,38,0,0,0,0,0,86,0,438,74,15
Märkisches Viertel,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,70,7,0,0,7,0,0,0,0,0,5,0,21,27,4
Müggelheim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,3,0,0,0,0,0,2,0,55,5,1
Neu-Hohenschönhausen,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,103,9,0,0,14,0,0,0,0,0,0,0,191,40,11
Neukölln,0,0,0,0,118,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,163,219,0,1,68,0,0,0,0,0,187,4,801,136,36
Niederschöneweide,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33,14,0,0,6,0,0,0,0,0,4,2,74,20,3
Niederschönhausen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,13,0,0,12,0,0,0,0,0,9,1,210,45,4
Nikolassee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,18,0,0,6,0,0,0,0,0,6,0,115,21,7
Oberschöneweide,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,40,24,0,0,6,0,0,0,0,0,9,0,97,27,4
Pankow,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,39,0,0,20,0,0,0,0,0,24,0,164,72,16
Plänterwald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,0,0,4,0,0,0,0,0,2,0,68,10,1
Prenzlauer Berg,0,0,0,0,84,0,0,0,0,0,0,2,0,2,1,0,0,1,0,0,3,0,0,0,1,0,0,0,7,0,0,182,372,0,0,71,0,0,0,0,0,201,6,692,184,32
Rahnsdorf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,9,0,0,4,0,0,0,0,0,2,0,71,8,4
Reinickendorf,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,164,47,0,0,30,0,0,0,0,0,18,0,942,63,18
Rosenthal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,6,0,0,0,0,0,2,0,34,5,1
Rudow,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,25,0,0,9,0,0,0,0,0,5,0,141,26,8
Rummelsburg,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,44,17,0,0,7,0,0,0,0,0,15,0,105,25,4
Schmargendorf,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,19,0,0,9,0,0,0,0,0,11,0,210,18,10
Schmöckwitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,2,0,40,4,0
Schöneberg,1,0,0,0,61,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,143,220,0,0,55,0,0,0,0,0,148,6,857,143,35
Siemensstadt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,0,0,7,0,0,0,0,0,1,0,48,12,3
Spandau,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,42,0,0,24,0,0,0,0,0,22,2,209,39,16
Staaken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,15,0,0,9,0,0,0,0,0,3,0,158,27,4
Stadtrandsiedlung Malchow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,76,2,0
Steglitz,0,0,0,0,10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46,84,0,0,28,0,0,0,0,0,48,1,303,88,22
Tegel,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,58,43,0,0,14,0,0,0,0,0,19,0,192,34,11
Tempelhof,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,64,42,0,0,28,0,0,0,0,0,22,1,482,58,13
Tiergarten,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,28,64,0,0,4,0,0,0,0,0,32,1,609,18,4
